Об'єм (л),Код ДВРП
0,2061
20,2129
40,2186
60,2241
80,2300
100,2355
120,2410
140,2464
160,2519
180,2572
200,2626
220,2679
240,2732
260,2786
280,2838
300,2892
320,2946
340,3000
360,3054
380,3109
400,3165
420,3220
440,3276
460,3338
