Об'єм (л),Код ДВРП
0,0
20,764
40,3734
60,6682
80,9649
100,12557
120,15395
140,17965
160,20797
180,23589
200,26368
220,29163
240,31925
260,34730
280,37519
300,40321
320,42832
340,45630
360,48548
380,51449
400,54294
420,57175
440,60228
446,63001
