Об'єм (л),Код ДВРП
0,2044
20,2097
40,2156
60,2212
80,2271
100,2328
120,2384
140,2439
160,2493
180,2549
200,2604
220,2657
240,2712
260,2766
280,2820
300,2875
320,2928
340,2986
360,3038
380,3093
400,3150
420,3204
440,3263
460,3328
