Об'єм (л),Код ДВРП
0,1841
20,1877
40,1917
60,1955
80,1990
100,2027
120,2064
140,2101
160,2137
180,2175
200,2210
220,2246
240,2282
260,2317
280,2352
300,2387
320,2423
340,2458
360,2493
380,2528
400,2563
420,2596
440,2630
460,2663
480,2698
500,2731
520,2766
540,2802
560,2841
