0,0
732,20
3720,40
6697,60
9688,80
12636,100
15503,120
18098,140
20935,160
23750,180
26537,200
29358,220
32143,240
34973,260
37774,280
40572,300
43063,320
45864,340
48802,360
51719,380
54587,400
57468,420
60539,440
62867,456
